Name,L210,e_L210,Lmm,e_Lmm,log MBH,Other_LogMBH,e_logMBH
Ark120,4.38E+01,1.00E-01,3.97E+01,4.79E-02,8.07E+00,,
CTS103,4.26E+01,1.00E-01,0.00E+00,3.84E+01,6.11E+00,,
ESO5-4,4.30E+01,4.00E-01,0.00E+00,3.85E+01,7.40E+00,,
IC1816,4.28E+01,4.00E-01,3.90E+01,4.63E-02,7.37E+00,,
                   IC4709,4.30E+01,1.00E-01,0.00E+00,3.84E+01,7.81E+00,,
                   IC5063,4.30E+01,4.00E-01,3.96E+01,4.37E-02,8.24E+00,,
                   Mrk509,4.41E+01,1.00E-01,4.01E+01,4.80E-02,8.05E+00,,
                   Mrk520,4.33E+01,1.00E-01,3.88E+01,7.85E-02,7.84E+00,,
                   Mrk705,4.32E+01,1.00E-01,3.94E+01,5.40E-02,7.08E+00,,
                   Mrk915,4.32E+01,1.00E-01,3.92E+01,5.18E-02,7.93E+00,7.76E+00,3.70E-01
                   Mrk926,4.42E+01,1.00E-01,4.04E+01,4.62E-02,7.98E+00,,
                   NGC424,4.38E+01,4.00E-01,3.89E+01,4.38E-02,7.49E+00,,
                   NGC612,4.38E+01,4.00E-01,4.10E+01,4.36E-02,8.28E+00,8.99E+00,3.30E-01
                   NGC788,4.30E+01,4.00E-01,3.85E+01,6.36E-02,8.18E+00,8.21E+00,3.40E-01
                   NGC833,4.18E+01,4.00E-01,0.00E+00,3.89E+01,8.31E+00,,
                   NGC835,4.21E+01,4.00E-01,0.00E+00,3.88E+01,7.75E+00,,
                   NGC985,4.38E+01,1.00E-01,4.01E+01,4.42E-02,8.11E+00,,
                  ESO21-4,4.23E+01,4.00E-01,3.80E+01,9.53E-02,8.25E+00,,
                  IC4329A,4.38E+01,1.00E-01,4.01E+01,4.36E-02,7.65E+00,,
                  IC4518A,4.26E+01,1.00E-01,3.90E+01,4.75E-02,7.64E+00,,
                  Mrk1210,4.31E+01,1.00E-01,3.94E+01,4.40E-02,6.86E+00,,
                  Mrk1310,4.27E+01,1.00E-01,3.86E+01,5.71E-02,6.21E+00,,
                  NGC1068,4.30E+01,4.00E-01,3.87E+01,6.30E-02,6.93E+00,,
                  NGC1125,4.28E+01,4.00E-01,3.83E+01,4.87E-02,7.39E+00,7.34E+00,9.00E-01
                  NGC1194,4.37E+01,4.00E-01,3.92E+01,4.51E-02,7.83E+00,8.12E+00,2.90E-01
                  NGC1365,4.24E+01,1.00E-01,3.77E+01,9.28E-02,6.60E+00,,
                  NGC1566,4.16E+01,1.00E-01,3.85E+01,4.37E-02,6.83E+00,7.74E+00,3.30E-01
                  NGC2110,4.27E+01,1.00E-01,3.98E+01,4.36E-02,8.78E+00,9.25E+00,3.10E-01
                  NGC235A,4.32E+01,4.00E-01,3.91E+01,4.67E-02,8.49E+00,8.60E+00,3.00E-01
                  NGC2992,4.22E+01,1.00E-01,3.91E+01,4.37E-02,7.97E+00,,
                  NGC3035,4.25E+01,1.00E-01,3.85E+01,5.62E-02,7.24E+00,7.69E+00,4.30E-01
                  NGC3081,4.29E+01,4.00E-01,3.83E+01,5.02E-02,7.67E+00,8.41E+00,4.70E-01
                  NGC3227,4.23E+01,1.00E-01,3.81E+01,4.62E-02,6.77E+00,,
                  NGC3281,4.32E+01,4.00E-01,3.92E+01,4.38E-02,8.22E+00,,
                  NGC3393,4.27E+01,4.00E-01,3.83E+01,6.17E-02,7.52E+00,,
                  NGC3431,4.24E+01,1.00E-01,3.83E+01,7.85E-02,7.77E+00,8.12E+00,3.60E-01
                  NGC3783,4.32E+01,1.00E-01,3.87E+01,4.53E-02,7.37E+00,,
                  NGC4074,4.29E+01,1.00E-01,3.84E+01,7.63E-02,8.14E+00,,
                  NGC4235,4.17E+01,1.00E-01,3.82E+01,5.12E-02,7.28E+00,8.00E+00,3.10E-01
                  NGC4253,4.27E+01,1.00E-01,3.88E+01,4.99E-02,6.82E+00,,
                  NGC4388,4.29E+01,4.00E-01,3.88E+01,8.87E-02,6.94E+00,6.99E+00,3.60E-01
                  NGC4395,4.06E+01,1.00E-01,0.00E+00,3.62E+01,5.45E+00,,
                  NGC4507,4.35E+01,4.00E-01,3.90E+01,4.56E-02,7.81E+00,7.90E+00,3.60E-01
                  NGC4593,4.29E+01,1.00E-01,3.87E+01,4.37E-02,6.88E+00,,
