Name,L210,e_L210,Lmm,e_Lmm,,
                   Ark120,4.38E+01,1.00E-01,3.97E+01,4.79E-02,,
                   CTS103,4.26E+01,1.00E-01,0.00E+00,3.84E+01,,
                   ESO5-4,4.30E+01,4.00E-01,0.00E+00,3.85E+01,,
                   IC1816,4.28E+01,4.00E-01,3.90E+01,4.63E-02,,
                   IC4709,4.30E+01,1.00E-01,0.00E+00,3.84E+01,,
                   IC5063,4.30E+01,4.00E-01,3.96E+01,4.37E-02,,
                   Mrk509,4.41E+01,1.00E-01,4.01E+01,4.80E-02,,
                   Mrk520,4.33E+01,1.00E-01,3.88E+01,7.85E-02,,
                   Mrk705,4.32E+01,1.00E-01,3.94E+01,5.40E-02,,
                   Mrk915,4.32E+01,1.00E-01,3.92E+01,5.18E-02,,
                   Mrk926,4.42E+01,1.00E-01,4.04E+01,4.62E-02,,
                   NGC424,4.38E+01,4.00E-01,3.89E+01,4.38E-02,,
                   NGC612,4.38E+01,4.00E-01,4.10E+01,4.36E-02,,
                   NGC788,4.30E+01,4.00E-01,3.85E+01,6.36E-02,,
                   NGC833,4.18E+01,4.00E-01,0.00E+00,3.89E+01,,
                   NGC835,4.21E+01,4.00E-01,0.00E+00,3.88E+01,,
                   NGC985,4.38E+01,1.00E-01,4.01E+01,4.42E-02,,
                  ESO21-4,4.23E+01,4.00E-01,3.80E+01,9.53E-02,,
                  IC4329A,4.38E+01,1.00E-01,4.01E+01,4.36E-02,,
                  IC4518A,4.26E+01,1.00E-01,3.90E+01,4.75E-02,,
                  Mrk1210,4.31E+01,1.00E-01,3.94E+01,4.40E-02,,
                  Mrk1310,4.27E+01,1.00E-01,3.86E+01,5.71E-02,,
                  NGC1068,4.30E+01,4.00E-01,3.87E+01,6.30E-02,,
                  NGC1125,4.28E+01,4.00E-01,3.83E+01,4.87E-02,,
                  NGC1194,4.37E+01,4.00E-01,3.92E+01,4.51E-02,,
                  NGC1365,4.24E+01,1.00E-01,3.77E+01,9.28E-02,,
                  NGC1566,4.16E+01,1.00E-01,3.85E+01,4.37E-02,,
                  NGC2110,4.27E+01,1.00E-01,3.98E+01,4.36E-02,,
                  NGC235A,4.32E+01,4.00E-01,3.91E+01,4.67E-02,,
                  NGC2992,4.22E+01,1.00E-01,3.91E+01,4.37E-02,,
                  NGC3035,4.25E+01,1.00E-01,3.85E+01,5.62E-02,,
                  NGC3081,4.29E+01,4.00E-01,3.83E+01,5.02E-02,,
                  NGC3227,4.23E+01,1.00E-01,3.81E+01,4.62E-02,,
                  NGC3281,4.32E+01,4.00E-01,3.92E+01,4.38E-02,,
                  NGC3393,4.27E+01,4.00E-01,3.83E+01,6.17E-02,,
                  NGC3431,4.24E+01,1.00E-01,3.83E+01,7.85E-02,,
                  NGC3783,4.32E+01,1.00E-01,3.87E+01,4.53E-02,,
                  NGC4074,4.29E+01,1.00E-01,3.84E+01,7.63E-02,,
                  NGC4235,4.17E+01,1.00E-01,3.82E+01,5.12E-02,,
                  NGC4253,4.27E+01,1.00E-01,3.88E+01,4.99E-02,,
                  NGC4388,4.29E+01,4.00E-01,3.88E+01,8.87E-02,,
                  NGC4395,4.06E+01,1.00E-01,0.00E+00,3.62E+01,,
                  NGC4507,4.35E+01,4.00E-01,3.90E+01,4.56E-02,,
                  NGC4593,4.29E+01,1.00E-01,3.87E+01,4.37E-02,,
                  NGC4748,4.23E+01,1.00E-01,3.84E+01,6.42E-02,,
                  NGC4941,4.13E+01,4.00E-01,3.77E+01,7.59E-02,,
                  NGC4945,4.13E+01,4.00E-01,3.81E+01,4.35E-02,,
                  NGC5231,4.29E+01,1.00E-01,3.88E+01,5.48E-02,,
                  NGC526A,4.33E+01,1.00E-01,3.99E+01,4.36E-02,,
                  NGC5506,4.31E+01,1.00E-01,3.91E+01,4.37E-02,,
                  NGC5548,4.31E+01,1.00E-01,3.89E+01,5.89E-02,,
                  NGC5643,4.22E+01,4.00E-01,3.76E+01,4.62E-02,,
                  NGC5674,4.31E+01,1.00E-01,3.88E+01,7.99E-02,,
                  NGC5728,4.30E+01,4.00E-01,3.89E+01,4.47E-02,,
                  NGC5995,4.33E+01,1.00E-01,3.93E+01,6.42E-02,,
                  NGC6240,4.48E+01,4.00E-01,3.99E+01,4.12E-02,,
                  NGC6300,4.18E+01,1.00E-01,3.81E+01,4.82E-02,,
                  NGC6860,4.31E+01,1.00E-01,3.92E+01,4.46E-02,,
                  NGC6921,4.28E+01,4.00E-01,3.87E+01,9.05E-02,,
                  NGC7130,4.21E+01,4.00E-01,3.94E+01,8.97E-02,,
                  NGC7172,4.28E+01,1.00E-01,3.84E+01,4.42E-02,,
                  NGC7314,4.22E+01,1.00E-01,3.76E+01,6.34E-02,,
                  NGC7469,4.32E+01,1.00E-01,3.93E+01,4.38E-02,,
                  NGC7582,4.35E+01,4.00E-01,3.79E+01,5.03E-02,,
                  NGC7682,4.35E+01,4.00E-01,3.88E+01,5.50E-02,,
                 ESO417-6,4.26E+01,1.00E-01,3.90E+01,4.54E-02,,
                 ESO426-2,4.33E+01,4.00E-01,3.87E+01,6.11E-02,,
                ESO137-34,4.26E+01,4.00E-01,3.80E+01,5.97E-02,,
                ESO323-77,4.29E+01,1.00E-01,3.89E+01,4.87E-02,,
                ESO362-18,4.30E+01,1.00E-01,3.86E+01,6.25E-02,,
                ESO383-18,4.28E+01,1.00E-01,3.89E+01,4.93E-02,,
                ESO424-12,4.24E+01,1.00E-01,0.00E+00,3.81E+01,,
                ESO499-41,4.24E+01,1.00E-01,0.00E+00,3.85E+01,,
                ESO511-30,4.35E+01,1.00E-01,3.94E+01,4.49E-02,,
                ESO565-19,4.35E+01,4.00E-01,3.90E+01,4.54E-02,,
                Fairall49,4.34E+01,1.00E-01,3.93E+01,5.56E-02,,
                H0557-385,4.41E+01,1.00E-01,4.02E+01,4.54E-02,,
                LEDA47848,4.29E+01,1.00E-01,3.92E+01,7.73E-02,,
                LEDA75258,4.25E+01,1.00E-01,3.88E+01,4.81E-02,,
                LEDA86269,4.26E+01,1.00E-01,3.87E+01,4.63E-02,,
                LEDA90334,4.28E+01,1.00E-01,3.88E+01,4.62E-02,,
               Fairall272,4.30E+01,4.00E-01,3.88E+01,5.26E-02,,
               MCG-1-40-1,4.33E+01,1.00E-01,3.97E+01,4.46E-02,,
               MCG-1-9-45,4.18E+01,1.00E-01,3.87E+01,5.28E-02,,
               MCG-2-2-95,4.23E+01,1.00E-01,0.00E+00,3.84E+01,,
               MCG-2-8-14,4.28E+01,1.00E-01,3.87E+01,6.10E-02,,
               PG1149-110,4.36E+01,1.00E-01,3.98E+01,7.90E-02,,
              Fairall1146,4.35E+01,1.00E-01,3.94E+01,6.35E-02,,
              LEDA2793282,4.24E+01,1.00E-01,3.92E+01,4.51E-02,,
              MCG-1-13-25,4.28E+01,1.00E-01,3.99E+01,4.35E-02,,
              MCG-1-24-12,4.32E+01,1.00E-01,3.92E+01,4.47E-02,,
              MCG-5-23-16,4.32E+01,1.00E-01,3.93E+01,4.37E-02,,
              MCG-6-30-15,4.27E+01,1.00E-01,3.82E+01,4.83E-02,,
           CircinusGalaxy,4.23E+01,4.00E-01,3.79E+01,4.48E-02,,
