Galaxy,Bolometric Luminosity (erg/s),Accretion rate (M_solar/yr),Accretion Rate Error,OIII Lbol,OIII Accretion rate
Frl1146,5.81E+044,0.0872,0.00872,1.03E+45,0.15
FRL49,3.8E+044,0.057,0.0057,8.59E+45,1.29
MRK567,,,,,
NGC0383,8.73E+040,1.31E-05,1.31E-06,1.01E+43,0.0015
NGC0404,1.22E+038,1.83E-08,1.83E-09,1.71E+41,2.57E-05
NGC0449,2.73E+041,4.1E-05,4.1E-06,1.11E+45,0.17
NGC0524,2.65E+039,3.98E-07,3.98E-08,1.24E+41,1.86E-05
NGC0612,3.48E+043,0.00522,0.000522,2.42E+46,3.63
NGC0708,1.22E+042,0.000183,1.83E-05,1.43E+42,0.00021
NGC1194,3.18E+042,0.000477,4.77E-05,2.78E+43,0.0042
NGC1387,3.88E+039,5.82E-07,5.82E-08,,
NGC1574,,,,,
NGC2110,,,,1.27E+44,0.019
NGC3169,3.11E+040,4.67E-06,4.67E-07,1.01E+43,0.0015
NGC3351,3.92E+039,5.88E-07,6.1E-08,9.21E+40,1.38E-05
NGC3368,1.35E+040,2.03E-06,2.03E-07,2.48E+42,0.00037
NGC3607,3.55E+039,5.33E-07,2.96E-07,1.06E+43,0.0016
NGC3862,3.63E+042,0.000545,5.45E-05,5.55E+42,0.00083
NGC4061,,,,,
NGC4261,6.08E+041,9.12E-05,1.82E-05,1.39E+43,0.0021
NGC4429,8.96E+039,1.34E-06,1.34E-07,1.71E+42,0.00026
NGC4435,2.08E+039,3.12E-07,3.12E-08,3.66E+42,0.00055
NGC4438,3.73E+039,5.6E-07,5.6E-08,1.71E+43,0.0026
NGC4501,3.12E+040,4.68E-06,4.68E-07,7.15E+42,0.0011
NGC4697,2.26E+039,3.39E-07,1.4E-07,,
NGC4826,7.73E+038,1.16E-07,2.56E-08,3.75E+42,0.00056
NGC5064,,,,,
NGC5765b,,,,,
NGC5806,,,,,
NGC5995,9.35E+044,0.14,0.014,,
NGC6753,,,,,
NGC6958,,,,,
NGC7052,,,,,
NGC7172,3.84E+043,0.00576,0.000576,,
PGC043387,,,,,
