Frequency,Flux,Error,Length
NGC 1387 Frequency (Hz),NGC 1387 Flux Density (Jy),NGC 1387 Uncertainty (Jy),5
NGC 3351 Frequency (Hz),NGC 3351 Flux Density (Jy),NGC 3351 Uncertainty (Jy),5
NGC 3368 Frequency (Hz),NGC 3368 Flux Density (Jy),NGC 3368 Uncertainty (Jy),3
NGC 4429 Frequency (Hz),NGC 4429 Flux Density (Jy),NGC 4429 Uncertainty (Jy),10
NGC 4435 Frequency (Hz),NGC 4435 Flux Density (Jy),NGC 4435 Uncertainty (Jy),9
NGC 4438 Frequency (Hz),NGC 4438 Flux Density (Jy),NGC 4438 Uncertainty (Jy),7
NGC 4501 Frequency (Hz),NGC 4501 Flux Density (Jy),NGC 4501 Uncertainty (Jy),11
NGC 4697 Frequency (Hz),NGC 4697 Flux Density (Jy),NGC 4697 Uncertainty (Jy),12
NGC 4826 Frequency (Hz),NGC 4826 Flux Density (Jy),NGC 4826 Uncertainty (Jy),7
NGC 7172 Frequency (Hz),NGC 7172 Flux Density (Jy),NGC 7172 Uncertainty (Jy),11
