Galaxy,X-ray Luminosity (ergs/s),X-ray Luminosity Uncertainty (ergs/s),Radio Flux (Jy),Radio Flux Uncertainty (Jy),1mm flux density (Jy),RMS,1mm frequency (GHz),Bolometric Luminosity (erg/s),Bolometric Luminosity Uncertainty (erg/s),Accretion rate (M_solar/yr),Accretion Rate Error,LSB Flux Density,LSB Frequency (GHz),LSB RMS,USB Flux Density,USB Frequency (GHz),USB RMS
Frl1146,2.58E+043,2.58E+042,NaN,NaN,0.00047,3.02E-05,232,5.81E+044,5.81E+043,0.0872,0.00872,0.00044,224.4,3.1E-05,0.00043,239.4,3E-05
FRL49,1.85E+043,1.85E+042,0.074,0.0074,0.00093,3.82E-05,235.4,3.8E+044,3.8E+043,0.057,0.0057,0.00098,227,3.88E-05,0.0009,242.1,4.26E-05
MRK567,NaN,NaN,0.0227,0.0024,0.000107,3.55E-05,232.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC0383,1.28E+040,1.28E+039,4.86,0.486,0.063,0.000153,235.3,8.73E+040,8.73E+039,1.31E-05,1.31E-06,0.051,228.5,0.000766,0.052,242.8,0.000724
NGC0404,1.23E+037,1.23E+036,0.0036,0.00047,0.00038,1.22E-05,237,1.22E+038,1.22E+037,1.83E-08,1.83E-09,NaN,NaN,NaN,NaN,NaN,NaN
NGC0449,3.78E+040,3.78E+039,0.0759,0.0079,0.000603,2.45E-05,236,2.73E+041,2.73E+040,4.1E-05,4.1E-06,0.00056,227.9,2.72E-05,0.00062,243.1,2.73E-05
NGC0524,3.59E+038,3.59E+037,0.0031,0.00051,0.0057,2.4E-05,237.4,2.65E+039,2.65E+038,3.98E-07,3.98E-08,0.0058,230,3.11E-05,0.0057,245,2.98E-05
NGC0612,2.69E+042,2.69E+041,5.14,0.518,0.025,5.87E-05,233,3.48E+043,3.48E+042,0.00522,0.000522,0.024,223.6,0.00012,0.023,238.7,0.000124
NGC0708,1.5E+041,1.5E+040,0.0657,0.00657,0.00132,1.68E-05,235.7,1.22E+042,1.22E+041,0.000183,1.83E-05,0.00171,227.8,1.89E-05,0.00153,243.3,1.81E-05
NGC1194,3.5E+041,3.5E+040,0.0025,0.00025,0.00157,2.9E-05,229,3.18E+042,3.18E+041,0.000477,4.77E-05,0.00154,228,2.44E-05,0.00158,230,2.3E-05
NGC1387,5.38E+038,5.38E+037,0.004,0.00064,0.00104,5.3E-05,238.3,3.88E+039,3.88E+038,5.82E-07,5.82E-08,0.001218,231,5.59E-05,0.001216,246.2,6.35E-05
NGC1574,NaN,NaN,NaN,NaN,0.00332,3.48E-05,238,NaN,NaN,NaN,NaN,0.0035,231.7,7.05E-05,0.0036,246.2,6.3E-05
NGC2110,3.8E+042,3.8E+041,0.3,0.032,0.0214,0.000436,237.5,NaN,NaN,NaN,NaN,0.0234,230.7,0.000316,0.0227,245.2,0.000306
NGC3169,4.62E+039,4.62E+038,0.0932,0.00932,0.00342,8.18E-05,238.6,3.11E+040,3.11E+039,4.67E-06,4.67E-07,0.0032,231.5,0.00015,0.00308,246.5,0.000137
NGC3351,5.46E+038,5.67E+037,0.0425,0.00425,0.000453,0.000151,339.8,3.92E+039,4.07E+038,5.88E-07,6.1E-08,NaN,NaN,NaN,NaN,NaN,NaN
NGC3368,1.98E+039,1.98E+038,0.0281,0.00281,0.000564,0.000188,229.8,1.35E+040,1.35E+039,2.03E-06,2.03E-07,NaN,NaN,NaN,NaN,NaN,NaN
