Galaxy,X-ray Flux Density (Jy),X-ray Flux Density Uncertainty (Jy),Radio Flux (Jy),Radio Flux Uncertainty (Jy),1mm flux density (Jy),RMS,1mm frequency (GHz),Mass 100pc,Mass 100pc Error,Mass 75pc,Mass 75pc Error,Mass 50pc,Mass 50pc Error,Bolometric Luminosity (erg/s),Bolometric Luminosity Uncertainty (erg/s),Accretion rate (M_solar/yr),Accretion Rate Error,LSB Flux Density,LSB Frequency (GHz),LSB RMS,USB Flux Density,USB Frequency (Hz),USB RMS,Spectral Index,Spectral Index Error,Dominant
Frl1146,7.93E-08,7.93E-08,NaN,NaN,0.00047,3.02E-05,232,NaN,NaN,NaN,NaN,NaN,NaN,5.81E+044,5.81E+043,0.0872,0.00872,0.00044,224,3.1E-05,0.00043,239,3E-05,-0.35,0.008,Synch
FRL49,1.54E-07,1.54E-07,0.074,0.0074,0.00093,3.82E-05,235,7.89,0.04,NaN,NaN,NaN,NaN,3.8E+044,3.8E+043,0.057,0.0057,0.00098,227,3.88E-05,0.0009,242,4.26E-05,-1.33,0.006,Synch
MRK567,NaN,NaN,0.0227,0.0024,0.000107,3.55E-05,233,8.56,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Thermal
NGC0383,1.65E-10,1.65E-10,4.86,0.486,0.063,0.000153,235,7.75,0.04,7.51,0.04,7.12,0.04,8.73E+040,8.73E+039,1.31E-05,1.31E-06,0.051,229,0.000766,0.052,243,0.000724,0.33,0.004,Thermal
NGC0404,7.89E-11,7.89E-11,0.0036,0.00047,0.00038,1.22E-05,237,6.11,0.04,6.11,0.04,6.08,0.04,1.22E+038,1.22E+037,1.83E-08,1.83E-09,7.7E-05,230,2.93E-05,0.000115,245,2.48E-05,NaN,NaN,Thermal
NGC0449,5.59E-10,5.59E-10,0.0759,0.0079,0.000603,2.45E-05,236,NaN,NaN,NaN,NaN,NaN,NaN,2.73E+041,2.73E+040,4.1E-05,4.1E-06,0.00056,228,2.72E-05,0.00062,243,2.73E-05,1.6,0.007,Thermal
NGC0524,3.45E-11,3.45E-11,0.0031,0.00051,0.0057,2.4E-05,238,6.95,0.04,6.77,0.04,6.48,0.04,2.65E+039,2.65E+038,3.98E-07,3.98E-08,0.0058,230,3.11E-05,0.0057,245,2.98E-05,-0.27,0.002,Synch
NGC0612,1.03E-08,1.03E-08,5.14,0.518,0.025,5.87E-05,233,NaN,NaN,NaN,NaN,NaN,NaN,3.48E+043,3.48E+042,0.00522,0.000522,0.024,224,0.00012,0.023,239,0.000124,-0.66,0.002,Synch
NGC0708,2.53E-09,2.53E-09,0.0657,0.00657,0.00132,1.68E-05,236,7.68,0.04,7.49,0.04,7.15,0.04,1.22E+042,1.22E+041,0.000183,1.83E-05,0.00171,228,1.89E-05,0.00153,243,1.81E-05,-1.75,0.003,Synch
NGC1194,6.97E-09,6.97E-09,0.0025,0.00025,0.00157,2.9E-05,229,7.15,0.04,6.98,0.04,NaN,NaN,3.18E+042,3.18E+041,0.000477,4.77E-05,0.00154,227,2.44E-05,0.00158,230,2.3E-05,1.95,0.004,Thermal
