Galaxy,X-ray Luminosity (erg/s),X-ray Luminosity Uncertainty (erg/s),log10 Surface Density 200pc (Mdot/pc^2),log10 Surface Density 200pc error (Mdot/pc^2),log10 Surface Density 50pc (Mdot/pc^2),log10 Surface Density 50pc error (Mdot/pc^2),Galaxy Type
Frl1146,2.58E+43,2.58E+42,,,,,Spiral
FRL49,1.85E+43,1.85E+42,3.28,0.04,,,ETG
MRK567,,,3.8,0.04,,,Spiral
NGC0383,1.28E+40,1.28E+39,3.05,0.04,3.18,0.04,ETG
NGC0404,1.23E+37,1.23E+36,1.08,0.04,2.24,0.04,Dwarf
NGC0449,3.78E+40,3.78E+39,,,,,Spiral
NGC0524,3.59E+38,3.59E+37,2.33,0.04,2.57,0.04,ETG
NGC0612,2.69E+42,2.69E+41,3.1,0.04,3.46,0.05,ETG
NGC0708,1.50E+41,1.50E+40,3.02,0.04,3.24,0.04,ETG
NGC1194,3.50E+41,3.50E+40,2.39,0.04,,,Spiral
NGC1387,5.38E+38,5.38E+37,2.57,0.04,2.53,0.04,ETG
NGC1574,,,1.7,0.04,2.5,0.04,ETG
NGC2110,3.80E+42,3.80E+41,2.25,0.04,,,Spiral
NGC3169,4.62E+39,4.62E+38,3.17,0.04,,,Spiral
NGC3351,5.46E+38,5.67E+37,2.56,0.04,3.01,0.04,Spiral
NGC3368,1.98E+39,1.98E+38,3.27,0.04,3.52,0.04,Spiral
NGC3607,4.92E+38,2.73E+38,2.79,0.04,,,ETG
NGC3862,3.92E+41,3.92E+40,,,,,ETG
NGC4061,,,2.56,0.04,,,ETG
NGC4261,7.96E+40,1.59E+40,2.22,0.04,3.13,0.04,ETG
NGC4429,1.31E+39,1.31E+38,2.22,0.04,1.98,0.04,ETG
NGC4435,2.78E+38,2.78E+37,2.51,0.04,2.89,0.04,ETG
NGC4438,5.19E+38,5.19E+37,3.09,0.04,3.35,0.04,Spiral
NGC4501,4.65E+39,4.65E+38,2.96,0.04,3.33,0.04,Spiral
NGC4697,3.02E+38,1.25E+38,0.92,0.04,1.71,0.04,ETG
NGC4826,9.23E+37,2.05E+37,2.7,0.04,3.34,0.04,Spiral
NGC5064,,,3.03,0.04,3.2,0.04,Spiral
NGC5765b,,,3.31,0.04,,,Spiral
NGC5806,,,2.47,0.04,2.88,0.04,Spiral
NGC5995,3.74E+43,3.74E+42,,,,,Spiral
NGC6753,,,3.53,0.04,3.73,0.04,Spiral
NGC6958,,,2.6,0.04,2.71,0.05,ETG
NGC7052,,,2.65,0.04,2.9,0.04,ETG
NGC7172,2.91E+42,2.91E+41,3.26,0.04,2.84,0.04,ETG
PGC043387,,,,,,,ETG
