Galaxy,200pc CO Intensity (Jy km/s),200pc CO Int Error,100pc CO Intensity (Jy km/s),100pc CO Int Error,75pc CO Intensity (Jy km/s),75pc CO Int Error,50pc CO Intensity (Jy km/s),50pc CO Int Error
Frl1146,,,,,,,,
FRL49,7.75,0.78,2.39,0.24,,,,
MRK567,9.58,0.96,3.98,0.4,,,,
NGC0383,7.60,0.76,2.74,0.27,1.6,0.16,0.64,0.06
NGC0404,39.62,3.96,39.73,3.97,39.07,3.91,36.14,3.61
NGC0449,,,,,,,,
NGC0524,11.64,1.16,3.77,0.38,2.48,0.25,1.29,0.13
NGC0612,2.22,0.22,0.58,0.06,0.44,0.05,0.32,0.04
NGC0708,9.24,0.92,3.18,0.32,2.05,0.21,0.95,0.1
NGC1194,2.58,0.26,1.13,0.11,0.76,0.08,,
NGC1387,27.95,2.80,6.8,0.68,3.78,0.38,1.62,0.16
NGC1574,3.98,0.40,3.53,0.35,2.89,0.29,1.6,0.16
NGC2110,4.62,0.46,1.21,0.12,,,,
NGC3169,125.84,12.58,43.18,4.32,26.99,2.7,,
NGC3351,104.99,10.50,55.74,5.57,32.78,3.28,18.57,1.86
NGC3368,170.74,17.07,54.79,5.48,35.54,3.55,19.23,1.92
NGC3607,37.39,3.74,15.56,1.56,10.37,1.04,,
NGC3862,,,,,,,,
NGC4061,1.21,0.12,0.34,0.03,0.21,0.02,,
NGC4261,5.91,0.59,5.49,0.55,4.59,0.46,2.98,0.3
NGC4429,17.38,1.74,3.64,0.36,2,0.2,0.64,0.06
NGC4435,35.67,3.57,15.68,1.57,9.91,0.99,5.28,0.53
NGC4438,134.20,13.42,52.63,5.26,32.86,3.29,15.26,1.53
NGC4501,137.79,13.78,63.66,6.37,40.61,4.06,20.26,2.03
NGC4697,1.90,0.19,1.55,0.16,1.23,0.12,0.74,0.07
NGC4826,276.92,27.69,193.02,19.3,148.73,14.87,74.96,7.5
NGC5064,27.91,2.79,9.7,0.97,5.27,0.53,2.58,0.26
NGC5765b,4.70,0.47,,,,,,
NGC5806,19.20,1.92,7.53,0.75,5.46,0.55,3.09,0.31
NGC5995,,,,,,,,
NGC6753,57.58,5.76,19.66,1.97,11.8,1.18,5.65,0.56
NGC6958,12.76,1.28,3.76,0.38,2.3,0.23,1.03,0.11
NGC7052,5.06,0.51,2.2,0.22,1.33,0.13,0.55,0.06
NGC7172,47.03,4.70,6.19,0.62,2.85,0.29,1.14,0.11
PGC043387,,,,,,,,
