,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,log(L(2-10) )(erg/s),log(Mdense) Msol,log(Mdot) (Msol/yr),Radio Flux,Sample,MBH,Lbol,Eddington Fraction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.02,8.4,-1.55,4.85,Int,6.96,1.8789219541763027e+44,0.16350769484198893
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40.84,7.71,-4.1,0.413,Int,8.15,5.295521564828547e+41,2.975350926933064e-05
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42.73,7.7,-1.91,0.0646,Int,6.89,8.201791805415879e+43,0.08385678266990026
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,42.02,7.94,-2.76,0.754,Int,7.9,1.1585338858329175e+43,0.0011575458327775406
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,42.07,7.32,-2.7,0.101,Int,7.18,1.3301748766459194e+43,0.006974903378605331
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,41.13,6.58,-3.78,0.0905,Int,6.13,1.1063912716250409e+42,0.0065093585757268905
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,41.33,6.93,-3.56,0.0982,Int,7.76,1.8361524688921106e+42,0.0002532434350913431
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,40.91,6.87,-4.02,0.355,Int,7.38,6.366617240142912e+41,0.00021063871457857025
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,7.24,-3.29,0.0605,Int,7.1,3.419075893275766e+42,0.0021554512053127677
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,43.17,8.44,-1.36,0.181,Int,6.97,2.9101055482677723e+44,0.24747891073396738
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,41.9,8.24,-2.91,,Sin,7.65,8.201791805415876e+42,0.0014572638642000868
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,42.62,8.24,-2.05,,Sin,6.23,5.94167292089164e+43,0.27767590489405947
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,44.2,9.71,-0.03,,Sin,7.42,6.221695338646607e+45,1.8773195197543682
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,42.87,10.27,-1.74,,Sin,9.17,1.2131339057399893e+44,0.0006509358575726889
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,40.7,9.53,-4.25,,Sin,6.81,3.748942167935661e+41,0.00046082729627305906
