Galaxy,Intercept Max,Intercept Min,Intercept Guess,Index Max,Index Min,Index Guess,Mass Max,Mass Min,Mass Guess,Temperature,Distance,Beta,LSB Flux,LSB Freq,LSB RMS,USB Flux,USB Freq,USB RMS,SED Flux,SED Freq,SED RMS
Frl1146,0.01,0.0001,0.001,0,-2,-1,72000000,1,72000000,30,136.7,1.7,0.00044,224000000000,3.1E-05,0.00043,239000000000,3E-05,NaN,NaN,NaN
FRL49,1,0,0.01,0,-2,-1,35000000,1,35000000,35,85.7,1.6,0.00098,227000000000,3.88E-05,0.0009,242000000000,4.26E-05,FRL 49 Flux Density (Jy),FRL 49 Frequency (Hz),FRL 49 Uncertainty (Jy)
MRK567,0.1,0.001,0.01,0,-2,-0.27,91000000,NaN,91000000,34,140.6,1.7,NaN,NaN,NaN,NaN,NaN,NaN,MRK 567 Flux Density (Jy),MRK 567 Frequency (Hz),MRK 567 Uncertainty (Jy)
NGC0383,10,0,1,0,-2,-0.81,23000000,1,23000000,26,66.6,1.8,0.051,229000000000,0.000766,0.052,243000000000,0.000724,NGC 0383 Flux Density (Jy),NGC 0383 Frequency (Hz),NGC 0383 Uncertainty (Jy)
NGC0404,NaN,NaN,NaN,NaN,NaN,NaN,66000,1,66000,31,3.01,1.7,NaN,NaN,NaN,NaN,245000000000,2.48E-05,NGC 0404 Flux Density (Jy),NGC 0404 Frequency (Hz),NGC 0404 Uncertainty (Jy)
NGC0449,0.1,0,0.01,0,-2,-0.79,13000000,1,13000000,37,66.25,1.6,0.00056,228000000000,2.72E-05,0.00062,243000000000,2.73E-05,NGC 0449 Flux Density (Jy),NGC 0449 Frequency (Hz),NGC 0449 Uncertainty (Jy)
NGC0524,0.1,0.001,0.01,0,-2,-0.48,2600000,1,2600000,28,23.3,1.7,0.0058,230000000000,3.11E-05,0.0057,245000000000,2.98E-05,NGC 0524 Flux Density (Jy),NGC 0524 Frequency (Hz),NGC 0524 Uncertainty (Jy)
NGC0612,10,0.1,0.2,0,-2,-1.4,280000000,1,280000000,27,130.4,1.8,0.024,224000000000,0.00012,0.023,239000000000,0.000124,NGC 0612 Flux Density (Jy),NGC 0612 Frequency (Hz),NGC 0612 Uncertainty (Jy)
NGC0708,0.1,0,0.04,0,-2,-0.77,890000000,1,890000000,15,58.3,1.6,0.00171,228000000000,1.89E-05,0.00153,243000000000,1.81E-05,NGC 0708 Flux Density (Jy),NGC 0708 Frequency (Hz),NGC 0708 Uncertainty (Jy) 
NGC1194,0.01,0.0001,0.001,0,-2,-0.4,2700000,1,2700000,34,53.2,1.7,0.00154,227000000000,2.44E-05,0.00158,230000000000,2.3E-05,NGC 1194 Flux Density (Jy),NGC 1194 Frequency (Hz),NGC 1194 Uncertainty (Jy)
NGC1387,0.1,0.001,0.01,0,-2,-0.24,9500000,1,9500000,27,19.9,1.7,0.001218,231000000000,5.59E-05,0.001216,246000000000,6.35E-05,NGC 1387 Flux Density (Jy),NGC 1387 Frequency (Hz),NGC 1387 Uncertainty (Jy)
NGC1574,1,0.01,0.1,0,-2,-1,240000,1,240000,34,19.3,1.7,0.0035,232000000000,7.05E-05,0.0036,246000000000,6.3E-05,NaN,NaN,NaN
NGC2110,1,0.01,0.1,0,-2,-0.59,19000000,1,19000000,29,35.6,1.8,0.0234,231000000000,0.000316,0.0227,245000000000,0.000306,NGC 2210 Flux Density (Jy),NGC 2210 Frequency,NGC 2210 Uncertainty (Jy)
NGC3169,1,0.01,0.1,0,-2,-0.5,15000000,1,15000000,27,18.7,2,0.0032,232000000000,0.00015,0.00308,247000000000,0.000137,NGC 3169 Flux Density (Jy),NGC 3169 Frequency (Hz),NGC 3169 Uncertainty (Jy)
NGC3351,0.1,0.001,0.01,0,-2,-0.85,32000000,NaN,32000000,25,10,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NGC 3351 Flux Density (Jy),NGC 3351 Frequency (Hz),NGC 3351 Uncertainty (Jy)
NGC3368,0.1,0.0001,0.01,0,-2,-1,35000000,NaN,35000000,28,18,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NGC 3368 Flux Density (Jy),NGC 3368 Frequency (Hz),NGC 3368 Uncertainty (Jy)
NGC3607,0.1,0.001,0.09,0,-2,-0.75,3800000,1,3800000,28,22.2,1.8,0.0027,232000000000,0.000127,0.0026,247000000000,0.000109,NGC 3607 Flux Density (Jy),NGC 3607 Frequency (Hz),NGC 3607 Uncertainty (Jy)
NGC3862,100,0.01,1,0,-2,-0.85,10000000000,1,100000,25,92.5,1.7,0.0481,227000000000,7.85E-05,0.0446,242000000000,7.94E-05,NGC 3862 Flux Density (Jy),NGC 3862 Frequency (Hz),NGC 3862 Uncertainty (Jy)
NGC4061,0.1,0.001,0.01,0,-2.5,-2.18,1.00E+10,1,1.00E+05,25,94.1,1.7,0.00079,226000000000,1.91E-05,0.00067,242000000000,1.75E-05,NGC 4061 Flux Density (Jy),NGC 4061 Frequency (Hz),NGC 4061 Uncertainty (Jy)
NGC4261,100,0,5,0,-2,-0.64,1.00E+10,1,1.00E+05,25,31.948,1.7,0.22,229000000000,0.000489,0.21,245000000000,0.000484,NGC 4261 Flux Density (Jy),NGC 4261 Frequency (Hz),NGC 4261 Uncertainty (Jy)
NGC4429,0.01,0.0001,0.001,0,-2,-1,8500000,1,8500000,23,16.5,1.8,0.0011,334000000000,4.16E-05,0.00109,345000000000,5.44E-05,NGC 4429 Flux Density (Jy),NGC 4429 Frequency (Hz),NGC 4429 Uncertainty (Jy)
NGC4435,0.01,0.0001,0.001,0,-2,-1,3700000,1,3700000,29,16.5,1.5,0.00061,230000000000,1.9E-05,0.00066,246000000000,1.55E-05,NGC 4435 Flux Density (Jy),NGC 4435 Frequency (Hz),NGC 4435 Uncertainty (Jy)
NGC4438,1,0.001,0.01,0,-2,-0.84,8900000,1,8900000,29,16.5,1.5,0.00055,232000000000,0.000119,0.00048,247000000000,0.000112,NGC 4438 Flux Density (Jy),NGC 4438 Frequency (Hz),NGC 4438 Uncertainty (Jy)
NGC4501,1,0,0.1,0,-3,-0.51,100000000,1,100000000,25,14,1.6,0.0012,231000000000,0.000143,0.0013,245000000000,0.000143,NGC 4501 Flux Density (Jy),NGC 4501 Frequency (Hz),NGC 4501 Uncertainty (Jy)
NGC4697,0.1,0,0.01,0,-2,-1.04,250000,1,250000,29,11.4,1.9,0.000416,232000000000,6.03E-05,0.000364,247000000000,5.27E-05,NGC 4697 Flux Density (Jy),NGC 4697 Frequency (Hz),NGC 4697 Uncertainty (Jy)
