Galaxy,Radio Flux (Jy),Radio Flux Uncertainty (Jy),X-ray Luminosity (ergs/s),X-ray Luminosity Uncertainty (ergs/s),1mm flux density (Jy),RMS,Log OIII Lum (erg/s),LSB Frequency (Hz),LSB Flux Density,LSB RMS,USB Frequency (Hz),USB Flux Density,USB RMS
Frl1146,,,2.58E+043,2.58E+042,0.00047,2.72E-05,41.47,224000000000,0.00044,3.06E-05,239000000000,0.00043,2.98E-05
FRL49,0.074,0.0074,1.85E+043,1.85E+042,0.00093,3.8E-05,42.39,227000000000,0.00098,3.9E-05,242000000000,0.0009,4.04E-05
MRK567,0.0227,0.0024,,,0.000106,3.54E-05,,,,,,,
NGC0383,4.86,0.486,1.28E+040,1.28E+039,0.063,0.000101,39.46,229000000000,0.051,0.000835,243000000000,0.052,0.00077
NGC0404,0.0036,0.00047,1.23E+037,1.23E+036,0.00038,1.2E-05,37.69,230000000000,7.7E-05,3.22E-05,245000000000,0.000115,2.43E-05
NGC0449,0.0759,0.0079,3.78E+040,3.78E+039,0.000603,2.46E-05,41.5,228000000000,0.00056,2.77E-05,243000000000,0.00062,2.73E-05
NGC0524,0.0031,0.00051,3.59E+038,3.59E+037,0.0057,2.3E-05,37.55,230000000000,0.0058,3E-05,245000000000,0.0057,2.79E-05
NGC0612,5.14,0.518,2.69E+042,2.69E+041,0.025,6E-05,42.84,224000000000,0.024,0.000119,239000000000,0.023,0.000128
NGC0708,0.0657,0.00657,1.5E+041,1.5E+040,0.00132,1.65E-05,38.61,227800000000,0.00171,1.82E-05,243300000000,0.00153,1.71E-05
NGC1194,0.0025,0.00025,3.5E+041,3.5E+040,0.00158,2.86E-05,39.9,228000000000,0.00154,2.56E-05,230000000000,0.00158,2.33E-05
NGC1387,0.004,0.00064,5.38E+038,5.38E+037,0.00104,5.35E-05,,231000000000,0.001218,5.51E-05,246000000000,0.001216,6.26E-05
NGC1574,,,,,0.00332,3.3E-05,,232000000000,0.0035,7.08E-05,246000000000,0.0036,6.18E-05
NGC2110,0.3,0.032,3.8E+042,3.8E+041,0.0214,0.000453,40.56,231000000000,0.0234,0.000339,245000000000,0.0227,0.000337
NGC3169,0.0932,0.00932,4.62E+039,4.62E+038,0.00342,0.000107,39.46,232000000000,0.0032,0.000151,247000000000,0.00308,0.000134
NGC3351,0.0425,0.00425,5.46E+038,5.67E+037,0.000444,0.000148,37.42,,,,,,
NGC3368,0.0281,0.00281,1.98E+039,1.98E+038,0.000606,0.000202,38.85,,,,,,
NGC3607,0.0069,0.0008,4.92E+038,2.73E+038,0.00269,0.000164,39.48,232000000000,0.0027,0.000145,247000000000,0.0026,0.000143
NGC3862,5.7,0.57,3.92E+041,3.92E+040,0.0635,0.00143,39.2,227000000000,0.0481,7.8E-05,242000000000,0.0446,7.84E-05
NGC4061,0.386,0.0386,,,0.00241,0.00018,,226000000000,0.00079,1.92E-05,242000000000,0.00067,1.79E-05
NGC4261,22,2.42,7.96E+040,1.59E+040,0.217,0.00153,39.6,229000000000,0.22,0.00049,245000000000,0.21,0.000491
NGC4429,0.0001,0.0005,1.31E+039,1.31E+038,0.00111,8.53E-05,38.69,334000000000,0.0011,4.33E-05,345000000000,0.00109,5.25E-05
NGC4435,0.006,0.006,2.78E+038,2.78E+037,0.000731,2.46E-05,39.02,230000000000,0.00061,1.86E-05,246000000000,0.00066,1.8E-05
NGC4438,0.0633,0.00633,5.19E+038,5.19E+037,0.000524,0.000126,39.69,232000000000,0.00055,0.000135,247000000000,0.00048,0.000114
NGC4501,0.277,0.0277,4.65E+039,4.65E+038,0.00144,7.89E-05,39.31,231000000000,0.0012,0.000147,245000000000,0.0013,0.000137
NGC4697,0.0006,0.0005,3.02E+038,1.25E+038,0.000481,4.44E-05,,232000000000,0.000416,6.48E-05,247000000000,0.000364,5E-05
NGC4826,0.103,0.01,9.23E+037,2.05E+037,0.000375,7.46E-05,39.03,334000000000,0.00015,7.7E-05,346000000000,0.00052,8.88E-05
NGC5064,0.1,0.01,,,0.000279,2.59E-05,,230000000000,0.00027,3.99E-05,245000000000,0.00029,3.5E-05
NGC5765b,0.0232,0.00232,,,0.000328,6.16E-05,,225000000000,0.000342,3.24E-05,227000000000,0.000307,3.1E-05
NGC5806,0.0153,0.00153,,,0.000142,4.73E-05,,,,,,,
NGC5995,0.0307,0.0033,3.74E+043,3.74E+042,0.000994,3.31E-05,,226000000000,0.0010524,3.57E-05,241000000000,0.000953,3.69E-05
NGC6753,0.11,0.012,,,0.000134,4.47E-05,,,,,,,
NGC6958,0.015,0.0018,,,0.011,5.69E-05,,229000000000,0.0111,7.78E-05,245000000000,0.0114,8.36E-05
NGC7052,0.208,0.021,,,0.0178,8.23E-05,,228000000000,0.02633,0.000205,244000000000,0.02613,0.000196
NGC7172,0.0376,0.004,2.91E+042,2.91E+041,0.00842,0.00032,,230000000000,0.00315,9.16E-05,245000000000,0.00299,7.29E-05
PGC043387,,,,,0.000312,0.000104,,,,,,,
