Galaxy,Distance,Inclination,Position angle,Frequency,Beam width,Channel width,X centre,Y centre,N1,N2,Ratio,File Path,Beam Table,Cube,Total Size,Nchannels,Nchannels Index,Dims,Channel,Jupper,RMS (mJy/beam),Total Size (old)
FRL1146,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,NaN,0,,0
FRL49,85.7,55.93,30,2.26E+11,77.15,15,345,353,701,701,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/FRL49_cube.fits,No,Yes,6.5,60,0,3,30,2,0.211,7.6
MRK567,140.6,26,90,2.23E+11,93.39,15,1034,1010,2048,2048,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/MRK567_cube.fits,Yes,Yes,2.1,40,1,4,11,2,1.91,15
NGC0383,66.6,37.58,142.2,2.27E+11,42.83,10,254,253,512,512,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/NGC0383_cube.fits,No,Yes,9.1,90,1,4,30,2,0.423,8.16
NGC0404,3.01,20,37.2,2.31E+11,0.79,2,1030,910,2048,2048,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/NGC0404_cube.fits,No,Yes,1.5,150,0,3,30,2,0.822,1.5
NGC0449,66.25,80,245,2.27E+11,211.21,10,256,245,512,512,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/NGC0449_cube.fits,Yes,Yes,3.3,70,0,3,40,2,4.08,28
NGC0524,23.3,20.6,39.9,2.29E+11,36.65,10,149,149,300,300,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/NGC0524_cube.fits,No,Yes,8.85,150,0,3,60,2,0.487,21
NGC0612,130.4,81,182,2.24E+11,47,2,363,351,700,700,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/NGC0612_cube.fits,No,Yes,38.4,500,0,3,90,2,1.65,44
NGC0708,58.3,75,344,2.27E+11,24.1,10,256,248,512,512,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/NGC0708_cube.fits,Yes,Yes,1.3,120,0,3,67,2,0.463,7.7
NGC1194,53.2,90,340,2.27E+11,67.89,20,197,191,400,400,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/NGC1194_cube.fits,No,Yes,23.9,100,0,3,57,2,0.29,28
NGC1387,19.9,35,64,2.30E+11,40.27,10,152,155,300,300,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/NGC1387_cube.fits,No,Yes,25.3,60,0,3,30,2,1.21,21.1
NGC1574,19.3,25,340,2.29E+11,15.42,10,374,371,720,720,0.7,/Users/jelford/Documents/PhD_Work/WISDOM_Data/Data_cubes/NGC1574_cube.fits,No,Yes,7.6,65,0,3,40,2,0.699,13
