Galaxy,Index,Intercept,Mass,Temp,Distance,Beta,Nuc Index,Nuc Intercept,Nuc Mass,LSB Flux,LSB Freq,LSB RMS,USB Flux,USB Freq,USB RMS,SED Flux,SED Freq,SED RMS,SED Date,x0,y0,h,w,1mm flux density (Jy),RMS,1mm frequency (Hz),MCMC,LL,FF Index,FF Intercept,FF Mass,FF Temp,FF Beta,SFR,Dust PL Index,Dust PL Intercept
Frl1146,NaN,NaN,72000000,30,136.7,1.7,-0.16,0.0007,71000,0.00044,2.24E+11,3.10E-05,0.00043,2.39E+11,3.00E-05,FRL1146 Flux Density (Jy),FRL1146 Frequency (Hz),FRL1146 Uncertainty (Jy),FRL1146 Date,0.25,0.6,0.2,0.2,0.00047,3.02E-05,2.32E+11,1146.csv,1146ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRL49,-1.66,0.004,35000000,35,85.7,1.6,-1.02,0.02,2500000,0.00098,2.27E+11,3.88E-05,0.0009,2.42E+11,4.26E-05,FRL 49 Flux Density (Jy),FRL 49 Frequency (Hz),FRL 49 Uncertainty (Jy),FRL 49 Date,0.25,0.2,0.2,0.2,0.00093,3.82E-05,2.35E+11,49.csv,49ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MRK567,-0.22,0.015,91000000,34,140.6,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,MRK 567 Flux Density (Jy),MRK 567 Frequency (Hz),MRK 567 Uncertainty (Jy),,0.3,0.2,0.2,0.2,0.000107,3.55E-05,2.33E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC0383,-0.71,0.46,23000000,26,66.6,1.8,-0.71,0.46,22000000,0.051,2.29E+11,0.000766,0.052,2.43E+11,0.000724,NGC 0383 Flux Density (Jy),NGC0383 Frequency (Hz),NGC 0383 Uncertainty (Jy),NGC 0383 Date,0.25,0.2,0.2,0.2,0.063,0.000153,2.35E+11,0383.csv,0383ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC0404,NaN,NaN,60000,31,3.01,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.45E+11,2.48E-05,NGC 0404 Flux Density (Jy),NGC 0404 Frequency (Hz),NGC 0404 Uncertainty (Jy),,0.3,0.2,0.2,0.2,0.00038,1.22E-05,2.37E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC0449,-0.74,0.018,13000000,37,66.25,1.6,-0.96,0.012,2700,0.00056,2.28E+11,2.72E-05,0.00062,2.43E+11,2.73E-05,NGC 0449 Flux Density (Jy),NGC 0449 Frequency (Hz),NGC 0449 Uncertainty (Jy),NGC 0449 Date,0.3,0.2,0.2,0.2,0.000603,2.45E-05,2.36E+11,0449.csv,0449ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC0524,-0.16,0.002,2600000,28,23.3,1.7,-0.0012,0.0057,34000,0.0058,2.3E+11,3.11E-05,0.0057,2.45E+11,2.98E-05,NGC 0524 Flux Density (Jy),NGC 0524 Frequency (Hz),NGC 0524 Uncertainty (Jy),NGC 0524 Date,0.2,0.2,0.2,0.2,0.0057,2.40E-05,2.38E+11,0524.csv,0524ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC0612,-1.37,0.28,280000000,27,130.4,1.8,-0.95,0.38,280000000,0.024,2.24E+11,0.00012,0.023,2.39E+11,0.000124,NGC 0612 Flux Density (Jy),NGC 0612 Frequency (Hz),NGC 0612 Uncertainty (Jy),NGC 0612 Date,0.25,0.2,0.2,0.2,0.025,5.87E-05,2.33E+11,0612.csv,0612ll.csv,-1.37,0.27,410000000,26,1.8,2,NaN,NaN
NGC0708,-1.29,0.003,890000000,15,58.3,1.6,-1.29,0.003,22000000,0.00171,2.28E+11,1.89E-05,0.00153,2.43E+11,1.81E-05,NGC 0708 Flux Density (Jy),NGC 0708 Frequency (Hz),NGC 0708 Uncertainty (Jy) ,NGC 0708 Date,0.2,0.2,0.2,0.2,0.00132,1.68E-05,2.36E+11,0708.csv,0708ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC1194,-0.36,0.001,2700000,34,53.2,1.7,-0.13,0.0023,3200,0.00154,2.27E+11,2.44E-05,0.00158,2.3E+11,2.30E-05,NGC 1194 Flux Density (Jy),NGC 1194 Frequency (Hz),NGC 1194 Uncertainty (Jy),NGC 1194 Date,0.2,0.2,0.2,0.2,0.00157,2.90E-05,2.29E+11,1194.csv,1194ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
