,Galaxy,X-ray Luminosity (erg/s),X-ray Luminosity Uncertainty (erg/s),mm Luminosity (erg/s),Detection,mm,mm Luminosity Uncertainty (erg/s),X-ray Accretion rate (M_solar/yr),X-ray Accretion Rate Error (M_sol/yr),OIII Accretion rate (M_sol/yr),OIII Accretion rate error (M_sol/yr),log M_BH,X-ray Bolometric Luminosity (erg/s),OIII Bolometric Luminosity (erg/s),Dynamical,bherr,Jet,Sync_Cont,Warped,Eddington Fraction
0,Frl1146,2.58e+43,2.58e+42,2.44e+39,Yes,Yes,1.41e+38,0.0872,0.00872,0.009123454,0.00147079,7.85,5.81e+44,6.08e+43,False,0.0,1,0,0,0.00681605418357647
1,FRL49,1.85e+43,1.85e+42,1.9199999999999998e+39,Yes,Yes,7.85e+37,0.057,0.0057,1.288722181,0.11871709,8.204119983,3.8e+44,8.590000000000001e+45,True,0.217,0,0,0,0.42609126950369375
2,MRK567,,,5.84e+38,No,Yes,0.0,,,,,7.484544548,,,False,0.0,0,0,1,
3,NGC0383,1.28e+40,1.28e+39,7.86e+40,Yes,Yes,1.26e+38,1.31e-05,1.31e-06,0.001514117,0.00013948,9.62324929,8.73e+40,1.0100000000000001e+43,True,0.084354437,1,1,0,1.9085411960040833e-05
4,NGC0404,1.23e+37,1.23e+36,9.76e+35,Yes,Yes,3.0800000000000003e+34,1.83e-08,1.83e-09,2.57e-05,2.37e-06,5.740362689,1.22e+38,1.71e+41,True,0.315636364,0,0,1,0.0024675324703406125
5,NGC0449,3.7799999999999997e+40,3.78e+39,7.470000000000001e+38,Yes,Yes,3.05e+37,4.1e-05,4.1e-06,0.166019577,0.01529372,8.773880451,2.73e+41,1.11e+45,False,0.0,0,0,1,0.014827638272807028
6,NGC0524,3.59e+38,3.5899999999999997e+37,8.81e+38,Yes,Yes,3.56e+36,3.98e-07,3.98e-08,1.86e-05,1.72e-06,8.602059991,2.65e+39,1.24e+41,True,0.328380587,0,0,0,2.460317462175392e-06
7,NGC0612,2.69e+42,2.6899999999999997e+41,1.19e+41,Yes,Yes,2.84e+38,0.00522,0.000522,0.005625476,0.00051822,8.9,3.48e+43,3.75e+43,True,0.3,1,1,0,0.00037468018208159704
8,NGC0708,1.5e+41,1.4999999999999999e+40,1.27e+39,Yes,Yes,1.5799999999999998e+37,0.000183,1.83e-05,0.000660936,6.09e-05,8.301029996,1.22e+42,4.41e+42,True,0.3,1,0,0,0.00017499999986460025
9,NGC1194,3.5e+41,3.5e+40,1.23e+39,Yes,Yes,2.22e+37,0.000477,4.77e-05,0.005625476,0.00051822,7.85,3.18e+42,3.75e+43,True,0.051,0,0,1,0.004203980787567724
10,NGC1387,5.3800000000000006e+38,5.38e+37,1.17e+38,Yes,Yes,6.03e+36,5.82e-07,5.82e-08,,,6.9,3.8799999999999995e+39,,True,0.2,0,0,0,
11,NGC1574,,,3.52e+38,Yes,Yes,3.5e+36,,,,,8.045390399,,,True,0.0,0,0,1,
12,NGC2110,3.8e+42,3.8e+41,7.719999999999999e+39,Yes,Yes,1.6400000000000001e+38,,,0.019061598,0.00175595,8.772994667,,1.27e+44,False,0.0,0,0,1,0.0016999592416981214
