Name,Type,Distance,PA,Inclination,MH2,veldisp_co,Notes,Reference,LogMstar,eLogMstar,LogSFR,eLogSFR,z0MGS,Re_K_2mass,2MASS,log Mu_star,Beam,Beam,Massfrom,sigma_stars
FRL1146,,,,,0.00E+00,,,,,,,,,,,,,,,NaN
FRL49,ETG,85.7,30,55.93,1.54E+10,0,--,Lelli+ in prep,10.3,0.2,0.78,0.2,0,3,0,9.31214548,0.185992504,77.14745863,,NaN
MRK567,Spiral,140.6,90,26,4.80E+10,0,Lopsided/rough estimates,--,11.26,0.2,1.304,0.2,0,6.035,1,9.235024443,0.137238376,93.39126416,Cook+17,NaN
NGC0383,ETG,66.6,142.2,37.58,1.50E+09,8.32,--,North+2020,11.82,0.1,0.001,0.2,0,11,1,9.922615804,0.132873696,42.83103872,MASSIVE,239
NGC0404,Dwarf,3.06,37.2,20,9.00E+06,12.9,PA/inc warp,Davis+2020,9.1,0.1,-2.602059991,0.3,0,64,0,8.348546832,0.054108212,0.788270071,,40
NGC0449,Spiral,66.25,245,55,3.18E+09,0,Rough estimates,--,10.07,0.1,0.4670209,0.2,1,6.74,1,8.602658075,0.658700672,211.2123706,z0MGS,250.1
NGC0524,ETG,23.3,39.9,20.6,9.00E+07,9.3,--,Smith+2019,11.401,0.1,-1.959294834,0.2,1,23.66,1,9.75060831,0.324973811,36.6479466,z0MGS,220
NGC0612,ETG,130.4,175,81,2.00E+10,20,See Ruffa+2019,--,11.76,0.3,0.85,0.3,0,8.76,1,9.126786238,0.19363159,122.2078672,,NaN
NGC0708,ETG,58.3,347,76.6,3.00E+08,30,Warped/disturbed/outflow,North+ in prep,11.75,0.1,-0.823,0.2,1,23.7,1,9.301515831,0.085412991,24.10115455,MASSIVE,230
NGC1194,Spiral,53.2,340,90,3.80E+08,0,Rough estimates,--,10.64,0.1,0.73,0.2,1,10.86,1,8.948866718,0.263649526,67.88658913,z0MGS,170
NGC1387,ETG,19.9,64,25,2.14E+08,0,Rough estimates (see also Zabel et al 2019),Boyce+ in prep,10.67,0.1,-2.096910013,0.2,1,15.72,1,9.511738397,0.41805249,40.26514359,z0MGS,87
NGC1574,ETG,19.3,340,25,50000000,0,Rough estimates,--,10.79,0.1,-1.91,0.2,1,21.01,1,9.40638291,0.165106376,15.42291683,z0MGS,180
NGC2110,Spiral,34,0,0,0.00E+00,0,--,--,0,0,0,0,0,12,1,-1.388970693,0,0,,250
NGC3169,Spiral,18.7,41.1,50,5.92E+09,0,Rought estimates very messy,--,10.84,0.1,0.29,0.2,1,85.7,1,8.262704776,0.596434835,53.98212406,z0MGS,165
NGC3351,Spiral,10,0,0,0.00E+00,0,--,--,10.28,0.1,0.07,0.2,1,50.62,1,8.703705351,0,0,z0MGS,67
