Galaxy,Intercept Max,Intercept Min,Intercept Guess,Index Max,Index Min,Index Guess,Distance,Mass Min,Mass Max,Mass Guess,Temp Min,Temp Max,Temp Guess,Beta Min,Beta Max,Beta Guess,SFR Min,SFR Max,SFR Guess,SED Flux,SED Freq,SED RMS
Frl1146,0.01,0.0001,0.001,0,-2,-1,136.7,0,10,7.95,10,50,30,1.5,2,1.5,0,4,2,FRL1146 Flux Density (Jy),FRL1146 Frequency (Hz),FRL1146 Uncertainty (Jy)
FRL49,1,0,0.01,0,-2,-1,85.7,0,10,7.59,10,50,35,1.5,2,1.5,0,4,2,FRL 49 Flux Density (Jy),FRL 49 Frequency (Hz),FRL 49 Uncertainty (Jy)
MRK567,0.1,0.001,0.01,0,-2,-0.27,140.6,0,10,7.98,10,50,32,1.5,2,1.9,0,4,2,MRK 567 Flux Density (Jy),MRK 567 Frequency (Hz),MRK 567 Uncertainty (Jy)
NGC0383,10,0,1,0,-2,-0.81,66.6,0,10,7.5,3,50,26,1.5,2,1.7,0,4,2,NGC 0383 Flux Density (Jy),NGC 0383 Frequency (Hz),NGC 0383 Uncertainty (Jy)
NGC0404,NaN,NaN,NaN,NaN,NaN,NaN,3.01,0,10,5,10,50,28,1.5,2,2,0,4,2,NGC 0404 Flux Density (Jy),NGC 0404 Frequency (Hz),NGC 0404 Uncertainty (Jy)
NGC0449,0.1,0,0.01,0,-2,-0.79,66.25,0,10,7.23,10,50,38,1.5,2,1.5,0,4,2,NGC 0449 Flux Density (Jy),NGC 0449 Frequency (Hz),NGC 0449 Uncertainty (Jy)
NGC0524,0.1,0.001,0.01,0,-2,-0.48,23.3,0,10,6.3,10,50,27,1.5,2,2,0,4,2,NGC 0524 Flux Density (Jy),NGC 0524 Frequency (Hz),NGC 0524 Uncertainty (Jy)
NGC0612,10,0.1,0.2,0,-2,-1.4,130.4,8.5,8.7,8.7,3,50,27,1.5,2,1.6,0,4,2,NGC 0612 Flux Density (Jy),NGC 0612 Frequency (Hz),NGC 0612 Uncertainty (Jy)
NGC0708,0.1,0,0.04,0,-2,-0.77,58.3,0,10,8.9,10,50,15,1.5,2,1.5,0,4,2,NGC 0708 Flux Density (Jy),NGC 0708 Frequency (Hz),NGC 0708 Uncertainty (Jy) 
NGC1194,0.01,0.0001,0.001,0,-2,-0.4,53.2,0,10,6.4,10,50,37,1.5,2,1.5,0,4,2,NGC 1194 Flux Density (Jy),NGC 1194 Frequency (Hz),NGC 1194 Uncertainty (Jy)
NGC1387,0.1,0.001,0.01,0,-2,-0.24,19.9,0,10,6.74,10,50,27,1.5,2,1.8,0,4,2,NGC 1387 Flux Density (Jy),NGC 1387 Frequency (Hz),NGC 1387 Uncertainty (Jy)
NGC1574,1,0.01,0.1,0,-2,-1,19.3,0,10,5.43,10,50,31,1.5,2,2,0,4,2,NGC 1574 Flux Density (Jy),NGC 1574 Frequency (Hz),NGC 1574 Uncertainty (Jy)
