,Galaxy,log Mass 100pc,log Mass 100pc error,log Mass 75pc,log Mass 75pc error,log Mass 50pc,log Mass 50pc error
0,Frl1146,,,,,,
1,FRL49,7.87,0.04,,,,
2,MRK567,8.52,0.04,,,,
3,NGC0383,7.71,0.04,7.48,0.04,7.08,0.04
4,NGC0404,6.18,0.04,6.17,0.04,6.14,0.04
5,NGC0449,,,,,,
6,NGC0524,6.93,0.05,6.75,0.04,6.47,0.04
7,NGC0612,,,,,,
8,NGC0708,7.66,0.04,7.47,0.04,7.13,0.05
9,NGC1194,7.13,0.04,6.95,0.05,,
10,NGC1387,7.05,0.04,6.8,0.04,6.43,0.04
11,NGC1574,6.74,0.04,6.66,0.04,6.4,0.04
12,NGC2110,,,,,,
13,NGC3169,7.8,0.04,7.6,0.04,,
14,NGC3351,,,,,,
15,NGC3368,7.87,0.04,7.68,0.05,7.42,0.04
16,NGC3607,7.51,0.04,7.33,0.04,,
17,NGC3862,,,,,,
18,NGC4061,7.1,0.04,6.9,0.04,,
19,NGC4261,,,,,,
20,NGC4429,6.64,0.04,6.38,0.04,5.88,0.04
21,NGC4435,7.25,0.04,7.05,0.05,6.78,0.04
22,NGC4438,7.78,0.04,7.58,0.04,7.24,0.04
23,NGC4501,7.72,0.04,7.52,0.05,7.22,0.04
24,NGC4697,5.93,0.04,5.83,0.04,5.61,0.04
25,NGC4826,,,,,,
26,NGC5064,7.67,0.04,7.41,0.04,7.1,0.04
27,NGC5765b,,,,,,
28,NGC5806,7.16,0.04,7.02,0.04,6.77,0.05
29,NGC5995,,,,,,
30,NGC6753,8.16,0.05,7.94,0.04,7.62,0.04
31,NGC6958,7.17,0.04,6.96,0.04,6.61,0.04
32,NGC7052,7.39,0.04,7.17,0.04,6.79,0.04
33,NGC7172,7.48,0.04,7.14,0.04,6.74,0.04
34,PGC043387,,,,,,
